"nitrogen" "alcohol" "location"
"1" 1.60588235294118 439.090909090909 "E.Lothian"
"2" 1.62773109243697 441.136363636364 "E.Lothian"
"3" 1.64789915966387 448.068181818182 "E.Lothian"
"4" 1.68991596638655 450.113636363636 "E.Lothian"
"5" 1.68991596638655 447.159090909091 "E.Lothian"
"6" 1.68823529411765 437.159090909091 "E.Lothian"
"7" 1.71848739495798 434.204545454545 "E.Lothian"
"8" 1.74873949579832 442.159090909091 "E.Lothian"
"9" 1.77731092436975 436.136363636364 "E.Lothian"
"10" 1.8781512605042 441.136363636364 "E.Lothian"
"11" 1.62773109243697 444.772727272727 "Berwicks"
"12" 1.66974789915966 458.522727272727 "Berwicks"
"13" 1.6781512605042 448.636363636364 "Berwicks"
"14" 1.66974789915966 444.659090909091 "Berwicks"
"15" 1.67983193277311 435.795454545455 "Berwicks"
"16" 1.70840336134454 441.590909090909 "Berwicks"
"17" 1.7 445.681818181818 "Berwicks"
"18" 1.74033613445378 444.659090909091 "Berwicks"
"19" 1.77058823529412 448.75 "Berwicks"
"20" 1.77899159663866 449.772727272727 "Berwicks"
"21" 1.77058823529412 443.977272727273 "Aberdeen"
"22" 1.80084033613445 440 "Aberdeen"
"23" 1.87142857142857 448.977272727273 "Aberdeen"
"24" 1.87983193277311 437.045454545455 "Aberdeen"
"25" 1.87983193277311 428.863636363636 "Aberdeen"
"26" 1.89159663865546 438.068181818182 "Aberdeen"
"27" 1.92016806722689 437.954545454545 "Aberdeen"
"28" 1.95882352941176 435 "Aberdeen"
"29" 1.95882352941176 434.090909090909 "Aberdeen"
"30" 1.95882352941176 432.045454545455 "Aberdeen"
"31" 2.12689075630252 407.045454545455 "Norfolk"
"32" 2.13865546218487 431.136363636364 "Norfolk"
"33" 2.24789915966387 418.977272727273 "Norfolk"
"34" 2.24789915966387 429.886363636364 "Norfolk"
"35" 2.27815126050420 421.022727272727 "Norfolk"
"36" 2.29831932773109 423.977272727273 "Norfolk"
"37" 2.34873949579832 413.068181818182 "Norfolk"
"38" 2.35546218487395 423.977272727273 "Norfolk"
"39" 2.42100840336134 423.977272727273 "Norfolk"
"40" 2.44117647058824 416.022727272727 "Norfolk"
