Station,River,Location,Easting,Northing,Area,ALTBAR,BFI,PROPWET,SAAR,QMED,Ireland
19004,North Esk,Dalmore Weir,325200,661600,79.85,299,0.561,0.49,949,19.489,FALSE
19005,Almond,Almondell,308600,668600,232.55,221,0.361,0.51,964,90.162,FALSE
19006,Water of Leith,Murrayfield,322800,673200,102.29,229,0.428,0.49,867,31.002,FALSE
19007,Esk,Musselburgh,333850,672350,322.53,239,0.567,0.49,837,72.5815,FALSE
19008,South Esk,Prestonholm,332500,662300,113.49,286,0.592,0.49,859,19.1135,FALSE
19010,Braid Burn,Liberton,327250,670800,15.4,190,0.514,0.49,770,3.805,FALSE
19011,North Esk,Dalkeith Palace,333200,667600,133.41,272,0.551,0.49,907,36.8565,FALSE
20001,Tyne,East Linton,359100,676800,307.26,174,0.489,0.43,713,51.9105,FALSE
20003,Tyne,Spilmersford,345600,668900,162.77,195,0.52,0.43,724,34.2575,FALSE
20005,Birns Water,Saltoun Hall,345700,668700,92.6,231,0.536,0.43,762,18.2145,FALSE
20006,Biel Water,Belton House,364450,676800,57.55,178,0.525,0.43,742,11.748,FALSE
20007,Gifford Water,Lennoxlove,351100,671700,67.78,221,0.527,0.43,770,16.895,FALSE
21001,Fruid Water,Fruid,308750,620600,22.01,474,0.392,0.72,1702,19.1,FALSE
21003,Tweed,Peebles,325850,640000,698.12,355,0.517,0.56,1140,177.4655,FALSE
21005,Tweed,Lyne Ford,320600,639750,377.18,379,0.507,0.66,1255,124.512,FALSE
21006,Tweed,Boleside,349800,633350,1505.54,358,0.496,0.58,1164,395.378,FALSE
21007,Ettrick Water,Lindean,348550,631550,502.74,372,0.443,0.67,1306,241.075,FALSE
21008,Teviot,Ormiston Mill,370200,628050,1121.55,239,0.458,0.57,936,350.319,FALSE
21009,Tweed,Norham,389850,647700,4398.76,264,0.495,0.49,955,824.881,FALSE
21011,Yarrow Water,Philiphaugh,343900,627700,232.46,411,0.443,0.7,1347,87.225,FALSE
21012,Teviot,Hawick,352250,615900,324.42,283,0.429,0.59,1149,193.3695,FALSE
21013,Gala Water,Galashiels,347950,637350,205.45,340,0.531,0.44,930,51.2525,FALSE
21015,Leader Water,Earlston,356500,638800,239.11,292,0.563,0.43,853,60.6065,FALSE
21016,Eye Water,Eyemouth Mill,394200,663600,118.93,150,0.597,0.29,730,36.964,FALSE
21017,Ettrick Water,Brockhoperig,323400,613150,38.59,470,0.421,0.72,1740,60.364,FALSE
21019,Manor Water,Cademuir,321700,636900,59.95,458,0.482,0.72,1344,25.1285,FALSE
21020,Yarrow Water,Gordon Arms,330900,624750,153.94,451,0.395,0.72,1496,54.245,FALSE
21021,Tweed,Sprouston,375250,635400,3345.76,296,0.496,0.53,1014,735.676,FALSE
21024,Jed Water,Jedburgh,365600,621350,139.95,253,0.437,0.57,914,71.4765,FALSE
21025,Ale Water,Ancrum,363400,624450,173.79,242,0.391,0.58,926,51.665,FALSE
21027,Blackadder Water,Mouth Bridge,382550,653000,155.34,195,0.518,0.41,774,40.298,FALSE
21029,Tweed,Glenbreck,306300,621550,34.4,420,0.353,0.72,1532,37.765,FALSE
21030,Megget Water,Henderland,323100,623100,56.08,511,0.393,0.72,1669,77.673,FALSE
21031,Till,Etal,392550,639550,634.68,209,0.504,0.46,827,82.07,FALSE
21032,Glen,Kirknewton,391850,631000,196.05,272,0.456,0.46,877,44.45,FALSE
21034,Yarrow Water,Craig Douglas,328950,624450,116.18,460,0.39,0.72,1555,38.503,FALSE
21035,Till,Heaton Mill,390000,642400,655.54,205,0.5,0.44,822,124.02,FALSE
22001,Coquet,Morwick,423450,604450,578.25,225,0.393,0.44,850,155.5815,FALSE
22002,Coquet,Bygate,386900,608350,60.01,406,0.413,0.46,1020,25.84,FALSE
22003,Usway Burn,Shillmoor,388650,607700,21.88,444,0.302,0.45,1056,19.263,FALSE
22004,Aln,Hawkhill,421100,612900,202.91,134,0.427,0.45,758,63.23,FALSE
22006,Blyth,Hartford Bridge,424300,580000,273.67,115,0.333,0.42,696,52.409,FALSE
22007,Wansbeck,Mitford,417450,585800,282.01,182,0.347,0.45,794,100.508,FALSE
22009,Coquet,Rothbury,406700,601550,345.98,284,0.395,0.45,905,133.4935,FALSE
23001,Tyne,Bywell,403850,561650,2172.36,286,0.318,0.51,1016,837.962,FALSE
23002,Derwent,Eddys Bridge,404100,550800,118.11,363,0.316,0.59,943,48.41,FALSE
23003,North Tyne,Reaverhill,390550,573200,1012.98,278,0.31,0.5,1023,403.997,FALSE
23004,South Tyne,Haydon Bridge,385650,564700,749.9,350,0.298,0.6,1147,452.3685,FALSE
23005,North Tyne,Tarset,377650,586100,283.38,325,0.274,0.62,1230,220.569,FALSE
23006,South Tyne,Featherstone,367200,561100,323.05,429,0.27,0.64,1331,241.698,FALSE
23007,Derwent,Rowlands Gill,416850,558100,243.99,281,0.335,0.59,849,42.335,FALSE
23008,Rede,Rede Bridge,386850,583200,345.2,284,0.322,0.47,941,126.774,FALSE
23009,South Tyne,Alston,371550,546550,118.68,514,0.266,0.64,1522,144.28,FALSE
23010,Tarset Burn,Greenhaugh,378900,587900,95.51,301,0.305,0.56,993,63.975,FALSE
23011,Kielder Burn,Kielder,364450,594700,58.59,408,0.273,0.59,1199,65.776,FALSE
23013,West Allen,Hindley Wrae,379100,558250,78.56,402,0.28,0.63,1156,53.825,FALSE
23015,North Tyne,Barrasford,392450,572100,1049.63,275,0.311,0.5,1013,422.68,FALSE
23017,Team,Team Valley,424950,558450,62.35,124,0.371,0.33,685,11.37,FALSE
23018,Ouse Burn,Woolsington,419400,569850,10.14,91,0.312,0.45,670,3.1855,FALSE
23033,Rede,Otterburn,386350,594400,180.63,329,0.31,0.49,1024,152.7925,FALSE
24001,Wear,Sunderland Bridge,426500,537750,661.17,301,0.342,0.47,932,185.838,FALSE
24003,Wear,Stanhope,398350,539050,173.49,472,0.3,0.59,1279,123.86,FALSE
24004,Bedburn Beck,Bedburn,411800,532200,74.12,316,0.362,0.59,895,27.5,FALSE
24005,Browney,Burnhall,425900,538650,179,197,0.331,0.41,743,38.1295,FALSE
24006,Rookhope Burn,Eastgate,395250,539100,36.6,451,0.293,0.59,1126,24.62,FALSE
24007,Browney,Lanchester,416500,546200,44.67,252,0.333,0.59,797,10.981,FALSE
24008,Wear,Witton Park,417300,530900,454.63,365,0.338,0.59,1035,201.916,FALSE
24009,Wear,Chester le Street,428300,551150,1005,249,0.351,0.4,855,238.134,FALSE
25001,Tees,Darlington Broken Scar,425850,513750,847.7,361,0.354,0.54,1122,396.1,FALSE
25003,Trout Beck,Moor House,375800,533450,11.4,657,0.227,0.64,1905,15.142,FALSE
25004,Skerne,Darlington South Park,428400,512950,224.19,100,0.398,0.32,644,21.53,FALSE
